_id,term,definition,analysis.pos_tags[0][0],analysis.pos_tags[0][1],analysis.pos_tags[1][0],analysis.pos_tags[1][1],analysis.stems[0],analysis.stems[1],created_at,sentiment_score,source_link,status,analysis.morphemes[0].word,analysis.morphemes[1].word,analysis.morphemes[2].word,analysis.morphemes[3].word,analysis.morphemes[4].word,analysis.morphemes[5].word,analysis.morphemes[6].word,analysis.morphemes[7].word,analysis.morphemes[8].word,analysis.morphemes[9].word,analysis.morphemes[10].word,analysis.morphemes[11].word,analysis.morphemes[12].word,analysis.morphemes[13].word,analysis.morphemes[14].word,analysis.morphemes[15].word,analysis.morphemes[16].word,analysis.morphemes[0].pos,analysis.morphemes[1].pos,analysis.morphemes[2].pos,analysis.morphemes[3].pos,analysis.morphemes[4].pos,analysis.morphemes[5].pos,analysis.morphemes[6].pos,analysis.morphemes[7].pos,analysis.morphemes[8].pos,analysis.morphemes[9].pos,analysis.morphemes[10].pos,analysis.morphemes[11].pos,analysis.morphemes[12].pos,analysis.morphemes[13].pos,analysis.morphemes[14].pos,analysis.morphemes[15].pos,analysis.morphemes[16].pos,analysis.sentiment_score,updated_at,analyzed_at,ai_updated_at,category
695240bb559eb13868e6a7e7,억까,억지로 까다의 줄임말. 운이 나쁜 상황을 뜻함.,억,Noun,까,Verb,억,까다,2025-12-29T17:50:03.772Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69524a0ec318ce17b9e8e269,개추,개념글 추천의 줄임말로 강한 찬성을 의미,개추,Noun,,,개추,,2025-12-29T18:29:50.134Z,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69524a0ec318ce17b9e8e26a,지린다,매우 놀랍거나 대단한 상황을 표현,지,Modifier,린다,Noun,지,린다,2025-12-29T18:29:50.180Z,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69524a0ec318ce17b9e8e26b,하드캐리,혼자서 팀 전체를 승리로 이끄는 활약,하드캐리,Noun,,,하드캐리,,2025-12-29T18:29:50.216Z,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69524a0ec318ce17b9e8e26c,중꺾마,중요한 것은 꺾이지 않는 마음의 줄임말,중,Noun,꺾마,Verb,중,꺾다,2025-12-29T18:29:50.729Z,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
695381313b178b129082b90c,게임,,,,,,,,2025-12-30T16:37:21.219Z,,https://namu.wiki/w/%EB%B6%84%EB%A5%98:%EA%B2%8C%EC%9E%84,ai_analyzed,게임,,,,,,,,,,,,,,,,,Noun,,,,,,,,,,,,,,,,,0.367,2025-12-31T13:59:37.834Z,2025-12-31T14:57:24.331Z,2025-12-31T16:08:23.621Z,
695381313b178b129082b90d,용어,,,,,,,,2025-12-30T16:37:21.262Z,,https://namu.wiki/w/%EB%B6%84%EB%A5%98:%EC%9A%A9%EC%96%B4,ai_analyzed,용어,,,,,,,,,,,,,,,,,Noun,,,,,,,,,,,,,,,,,-0.503,2025-12-31T13:59:37.853Z,2025-12-31T14:57:24.331Z,2025-12-31T16:08:23.638Z,
695381313b178b129082b90e,은어,,,,,,,,2025-12-30T16:37:21.262Z,,https://namu.wiki/w/%EB%B6%84%EB%A5%98:%EC%9D%80%EC%96%B4,ai_analyzed,은어,,,,,,,,,,,,,,,,,Noun,,,,,,,,,,,,,,,,,-0.804,2025-12-31T13:59:37.856Z,2025-12-31T14:57:24.332Z,2025-12-31T16:08:23.657Z,
695381313b178b129082b90f,DLC,,,,,,,,2025-12-30T16:37:21.263Z,,https://namu.wiki/w/%EB%B6%84%EB%A5%98:DLC,ai_analyzed,DLC,,,,,,,,,,,,,,,,,Alpha,,,,,,,,,,,,,,,,,-0.668,2025-12-31T13:59:37.857Z,2025-12-31T14:57:24.332Z,2025-12-31T16:08:23.672Z,
695381313b178b129082b910,Mode,,,,,,,,2025-12-30T16:37:21.263Z,,https://namu.wiki/w/%EB%B6%84%EB%A5%98:Mode,ai_analyzed,Mode,,,,,,,,,,,,,,,,,Alpha,,,,,,,,,,,,,,,,,0.477,2025-12-31T13:59:37.857Z,2025-12-31T14:57:24.332Z,2025-12-31T16:08:23.689Z,
